"","X","Id","Id.Type","Standard.Value","smiles"
"332",332,NA,"cid",10000,NA
"333",333,NA,"cid",1000,NA
"334",334,NA,"cid",0.1,NA
"335",335,NA,"cid",10,NA
"336",336,NA,"cid",100,NA
"337",337,NA,"cid",100,NA
"338",338,NA,"cid",100,NA
"339",339,NA,"cid",100,NA
"340",340,NA,"cid",100,NA
"341",341,NA,"cid",63,NA
"342",342,NA,"cid",255,NA
"343",343,NA,"cid",10000,NA
"344",344,NA,"cid",10,NA
"345",345,NA,"cid",0.1,NA
"346",346,NA,"cid",10,NA
"347",347,NA,"cid",10,NA
"348",348,NA,"cid",0.1,NA
"349",349,NA,"cid",100,NA
"350",350,NA,"cid",10,NA
"351",351,NA,"cid",67,NA
"352",352,NA,"cid",1000,NA
"353",353,NA,"cid",10,NA
"354",354,NA,"cid",10,NA
"355",355,NA,"cid",10,NA
"356",356,NA,"cid",100,NA
"357",357,NA,"cid",1000,NA
"358",358,NA,"cid",1000,NA
"359",359,NA,"cid",10000,NA
"360",360,NA,"cid",10000,NA
"361",361,NA,"cid",500,NA
"362",362,NA,"cid",10,NA
"363",363,NA,"cid",1000,NA
"364",364,NA,"cid",1000,NA
"365",365,NA,"cid",0.1,NA
"366",366,NA,"cid",1000,NA
"367",367,NA,"cid",10000,NA
"368",368,NA,"cid",10000,NA
"369",369,NA,"cid",10000,NA
"370",370,NA,"cid",0.1,NA
"371",371,NA,"cid",100,NA
"372",372,NA,"cid",100,NA
"373",373,NA,"cid",100,NA
"374",374,NA,"cid",100,NA
"375",375,NA,"cid",100,NA
"376",376,NA,"cid",100,NA
"377",377,NA,"cid",100,NA
"378",378,NA,"cid",100,NA
"379",379,NA,"cid",10,NA
"380",380,NA,"cid",10,NA
"381",381,NA,"cid",10,NA
"382",382,NA,"cid",10000,NA
"383",383,NA,"cid",100,NA
"384",384,NA,"cid",100,NA
"385",385,NA,"cid",10000,NA
"386",386,NA,"cid",10,NA
"387",387,NA,"cid",100,NA
"388",388,NA,"cid",10,NA
"389",389,NA,"cid",29512.09,NA
"390",390,NA,"cid",1000,NA
"391",391,NA,"cid",220,NA
"392",392,NA,"cid",2.5,NA
"393",393,NA,"cid",9,NA
"394",394,NA,"cid",25,NA
"395",395,NA,"cid",320,NA
"396",396,NA,"cid",5000,NA
"397",397,NA,"cid",5000,NA
"398",398,NA,"cid",0.1,NA
"399",399,NA,"cid",10,NA
"400",400,NA,"cid",1000,NA
"401",401,NA,"cid",10,NA
"402",402,NA,"cid",10,NA
"403",403,NA,"cid",10000,NA
"404",404,NA,"cid",1000,NA
"405",405,NA,"cid",10000,NA
"406",406,NA,"cid",10,NA
"407",407,NA,"cid",4,NA
"408",408,NA,"cid",14,NA
"409",409,NA,"cid",6.9,NA
"410",410,NA,"cid",10000,NA
"411",411,NA,"cid",1000,NA
"412",412,NA,"cid",100,NA
"413",413,NA,"cid",10000,NA
"414",414,NA,"cid",1000,NA
"415",415,NA,"cid",1000,NA
"416",416,NA,"cid",10,NA
"417",417,NA,"cid",10,NA
"418",418,NA,"cid",10000,NA
"419",419,NA,"cid",206,NA
"420",420,NA,"cid",6,NA
"421",421,NA,"cid",100,NA
"422",422,NA,"cid",10,NA
"423",423,NA,"cid",100,NA
"424",424,NA,"cid",100,NA
"425",425,NA,"cid",100,NA
"426",426,NA,"cid",0.1,NA
"427",427,NA,"cid",100,NA
"428",428,NA,"cid",10000,NA
"429",429,NA,"cid",100,NA
"430",430,NA,"cid",100,NA
"431",431,NA,"cid",10000,NA
"432",432,NA,"cid",10,NA
"433",433,NA,"cid",10,NA
"434",434,NA,"cid",10,NA
"435",435,NA,"cid",2,NA
"436",436,NA,"cid",17,NA
"437",437,NA,"cid",10,NA
"438",438,NA,"cid",10000,NA
"439",439,NA,"cid",10,NA
"440",440,NA,"cid",10000,NA
"441",441,NA,"cid",1000,NA
"442",442,NA,"cid",100,NA
"443",443,NA,"cid",100,NA
"444",444,NA,"cid",10,NA
"445",445,NA,"cid",1000,NA
"446",446,NA,"cid",100,NA
"447",447,NA,"cid",1000,NA
"448",448,NA,"cid",1380.38,NA
"449",449,NA,"cid",6.31,NA
"450",450,NA,"cid",10,NA
"451",451,NA,"cid",0.34,NA
"452",452,NA,"cid",0.1,NA
"453",453,NA,"cid",0.1,NA
"454",454,NA,"cid",30199.52,NA
"455",455,NA,"cid",NA,NA
"456",456,NA,"cid",1000,NA
"457",457,NA,"cid",100,NA
"458",458,NA,"cid",10,NA
"459",459,NA,"cid",100,NA
"460",460,NA,"cid",177,NA
"461",461,NA,"cid",0.1,NA
"462",462,NA,"cid",10000,NA
"463",463,NA,"cid",10,NA
"464",464,NA,"cid",10,NA
"465",465,NA,"cid",10,NA
"466",466,NA,"cid",100,NA
"467",467,NA,"cid",10000,NA
"468",468,NA,"cid",210,NA
"469",469,NA,"cid",17,NA
"470",470,NA,"cid",154,NA
"471",471,NA,"cid",154,NA
"472",472,NA,"cid",12,NA
"473",473,NA,"cid",NA,NA
"474",474,NA,"cid",100,NA
"475",475,NA,"cid",100,NA
"476",476,NA,"cid",10,NA
"477",477,NA,"cid",10000,NA
"478",478,NA,"cid",10000,NA
"479",479,NA,"cid",10000,NA
"480",480,NA,"cid",100,NA
"481",481,NA,"cid",10000,NA
"482",482,NA,"cid",10000,NA
"483",483,NA,"cid",100,NA
"484",484,NA,"cid",10000,NA
"485",485,NA,"cid",10000,NA
"486",486,NA,"cid",100,NA
"487",487,NA,"cid",100,NA
"488",488,NA,"cid",1150,NA
"489",489,NA,"cid",NA,NA
"490",490,NA,"cid",100,NA
"491",491,NA,"cid",0.1,NA
"492",492,NA,"cid",100,NA
"493",493,NA,"cid",500,NA
"494",494,NA,"cid",1000,NA
"495",495,NA,"cid",0.1,NA
"496",496,NA,"cid",8,NA
"497",497,NA,"cid",1000,NA
"498",498,NA,"cid",17.38,NA
"499",499,NA,"cid",16.98,NA
"500",500,NA,"cid",127,NA
"501",501,NA,"cid",166,NA
"502",502,NA,"cid",0.8,NA
"503",503,NA,"cid",2940,NA
"504",504,NA,"cid",10,NA
"505",505,NA,"cid",1000,NA
"506",506,NA,"cid",100,NA
"507",507,NA,"cid",100,NA
"508",508,NA,"cid",10000,NA
"509",509,NA,"cid",100,NA
"510",510,NA,"cid",18,NA
"511",511,NA,"cid",100,NA
"512",512,NA,"cid",100,NA
"513",513,NA,"cid",1000,NA
"514",514,NA,"cid",10000,NA
"515",515,NA,"cid",100,NA
"516",516,NA,"cid",1000,NA
"517",517,NA,"cid",10,NA
"518",518,NA,"cid",10,NA
"519",519,NA,"cid",0.1,NA
"520",520,NA,"cid",10,NA
"521",521,NA,"cid",100,NA
"522",522,NA,"cid",100,NA
"523",523,NA,"cid",100,NA
"524",524,NA,"cid",10,NA
"525",525,NA,"cid",10,NA
"526",526,NA,"cid",100,NA
"527",527,NA,"cid",10,NA
"528",528,NA,"cid",3,NA
"529",529,NA,"cid",3,NA
"530",530,NA,"cid",10,NA
"531",531,NA,"cid",46,NA
"532",532,NA,"cid",1000,NA
"533",533,NA,"cid",46,NA
"534",534,NA,"cid",1000,NA
"535",535,NA,"cid",0.24,NA
"536",536,NA,"cid",1000,NA
"537",537,NA,"cid",0.1,NA
"538",538,NA,"cid",100,NA
"539",539,NA,"cid",10,NA
"540",540,NA,"cid",1000,NA
"541",541,NA,"cid",10000,NA
"542",542,NA,"cid",10000,NA
"543",543,NA,"cid",10,NA
"544",544,NA,"cid",100,NA
"545",545,NA,"cid",0.1,NA
"546",546,NA,"cid",10,NA
"547",547,NA,"cid",10,NA
"548",548,NA,"cid",10000,NA
"549",549,NA,"cid",10000,NA
"550",550,NA,"cid",1000,NA
"551",551,NA,"cid",213.8,NA
"552",552,NA,"cid",69.18,NA
"553",553,NA,"cid",25.12,NA
"554",554,NA,"cid",10000,NA
"555",555,NA,"cid",100,NA
"556",556,NA,"cid",10000,NA
"557",557,NA,"cid",10000,NA
"558",558,NA,"cid",100,NA
"559",559,NA,"cid",23,NA
"560",560,NA,"cid",14,NA
"561",561,NA,"cid",20,NA
"562",562,NA,"cid",139,NA
"563",563,NA,"cid",263,NA
"564",564,NA,"cid",10,NA
"565",565,NA,"cid",0.1,NA
"566",566,NA,"cid",10,NA
"567",567,NA,"cid",13,NA
"568",568,NA,"cid",10000,NA
"569",569,NA,"cid",10000,NA
"570",570,NA,"cid",10000,NA
"571",571,NA,"cid",100,NA
"572",572,NA,"cid",100,NA
"573",573,NA,"cid",0.7,NA
"574",574,NA,"cid",16.22,NA
"575",575,NA,"cid",9.12,NA
"576",576,NA,"cid",275.42,NA
"577",577,NA,"cid",11,NA
"578",578,NA,"cid",10,NA
"579",579,NA,"cid",1000,NA
"580",580,NA,"cid",1000,NA
"581",581,NA,"cid",18,NA
"582",582,NA,"cid",62,NA
"583",583,NA,"cid",10,NA
"584",584,NA,"cid",100,NA
"585",585,NA,"cid",100,NA
"586",586,NA,"cid",10,NA
"587",587,NA,"cid",10,NA
"588",588,NA,"cid",100,NA
"589",589,NA,"cid",0.1,NA
"590",590,NA,"cid",100,NA
"591",591,NA,"cid",10000,NA
"592",592,NA,"cid",0.1,NA
"593",593,NA,"cid",0.1,NA
"594",594,NA,"cid",100,NA
"595",595,NA,"cid",10,NA
"596",596,NA,"cid",500,NA
"597",597,NA,"cid",10000,NA
"598",598,NA,"cid",10,NA
"599",599,NA,"cid",100,NA
"600",600,NA,"cid",14,NA
"601",601,NA,"cid",1000,NA
"602",602,NA,"cid",10,NA
"603",603,NA,"cid",1000,NA
"604",604,NA,"cid",131,NA
"605",605,NA,"cid",27.54,NA
"606",606,NA,"cid",1122.02,NA
"607",607,NA,"cid",1698.24,NA
"608",608,NA,"cid",10000,NA
"609",609,NA,"cid",100,NA
"610",610,NA,"cid",100,NA
"611",611,NA,"cid",1000,NA
"612",612,NA,"cid",0.1,NA
"613",613,NA,"cid",10,NA
"614",614,NA,"cid",10,NA
"615",615,NA,"cid",4,NA
"616",616,NA,"cid",10,NA
"617",617,NA,"cid",10,NA
"618",618,NA,"cid",10,NA
"619",619,NA,"cid",1000,NA
"620",620,NA,"cid",0.1,NA
"621",621,NA,"cid",10000,NA
"622",622,NA,"cid",10,NA
"623",623,NA,"cid",1000,NA
"624",624,NA,"cid",10,NA
"625",625,NA,"cid",10,NA
"626",626,NA,"cid",100,NA
"627",627,NA,"cid",1000,NA
"628",628,NA,"cid",100,NA
"629",629,NA,"cid",408,NA
"630",630,NA,"cid",6.31,NA
"631",631,NA,"cid",1000,NA
"632",632,NA,"cid",100,NA
"633",633,NA,"cid",100,NA
"634",634,NA,"cid",100,NA
"635",635,NA,"cid",100,NA
"636",636,NA,"cid",500,NA
"637",637,NA,"cid",29.51,NA
"638",638,NA,"cid",NA,NA
"639",639,NA,"cid",1380,NA
"640",1,"16113695","cid",0.004,"CC(C)(C(=O)N[C@H](CC1=CNC2=CC=CC=C21)C3=NN=C(N3CC4=CC=C(C=C4)OC)CCC5=CNC6=CC=CC=C65)N"
"641",2,"16113695","cid",0.004,"CC(C)(C(=O)N[C@H](CC1=CNC2=CC=CC=C21)C3=NN=C(N3CC4=CC=C(C=C4)OC)CCC5=CNC6=CC=CC=C65)N"
"642",3,"16113695","cid",0.004,"CC(C)(C(=O)N[C@H](CC1=CNC2=CC=CC=C21)C3=NN=C(N3CC4=CC=C(C=C4)OC)CCC5=CNC6=CC=CC=C65)N"
"643",4,"16113695","cid",0.004,"CC(C)(C(=O)N[C@H](CC1=CNC2=CC=CC=C21)C3=NN=C(N3CC4=CC=C(C=C4)OC)CCC5=CNC6=CC=CC=C65)N"
"644",5,"16113902","cid",0.005,"CC(C)(C(=O)N[C@H](CC1=CNC2=CC=CC=C21)C3=NN=C(N3CC4=CC=C(C=C4)OC)CCC5=CC=CC=C5)N"
"645",6,"16113902","cid",0.005,"CC(C)(C(=O)N[C@H](CC1=CNC2=CC=CC=C21)C3=NN=C(N3CC4=CC=C(C=C4)OC)CCC5=CC=CC=C5)N"
"646",7,"44436885","cid",0.005,"COC1=CC(=C(C=C1)CN2C(NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)C5CNCCN5)CCC6=CNC7=CC=CC=C76)OC"
"647",8,"44445592","cid",0.005,"CC(C)(C(=O)N[C@H](C1=CNC2=CC=CC=C21)C3=NN=C(N3CC4=CC=C(C=C4)OC)CCC5=CC=CC=C5)N"
