"","Id","Id.Type","Standard.Value"
"377","CHEMBL204266","chemblid",4
"378","CHEMBL383073","chemblid",NA
"379","CHEMBL204852","chemblid",NA
"380","CHEMBL207268","chemblid",736
"381","CHEMBL436849","chemblid",83
"382","CHEMBL204835","chemblid",69
"383","CHEMBL205790","chemblid",244
"384","CHEMBL205484","chemblid",NA
"385","CHEMBL207792","chemblid",49
"386","CHEMBL206672","chemblid",10000
"387","CHEMBL379887","chemblid",41
"388","CHEMBL359530","chemblid",250
"389","CHEMBL180722","chemblid",NA
"390","CHEMBL178384","chemblid",10000
"391","CHEMBL359506","chemblid",10500
"392","CHEMBL178463","chemblid",510
"393","CHEMBL187427","chemblid",98
"394","CHEMBL208424","chemblid",1.9
"395","CHEMBL382138","chemblid",82
"396","CHEMBL61663","chemblid",889
"397","CHEMBL108287","chemblid",15000
"398","CHEMBL417092","chemblid",21.5
"399","CHEMBL3218901","chemblid",120
"400","CHEMBL3218904","chemblid",1.6
"401","CHEMBL2164831","chemblid",72
"402","CHEMBL536706","chemblid",48
"403","CHEMBL19220","chemblid",3852
"404","CHEMBL2164834","chemblid",251
"405","CHEMBL403683","chemblid",NA
"406","CHEMBL403842","chemblid",NA
"407","CHEMBL222518","chemblid",870
"408","CHEMBL400879","chemblid",140
"409","CHEMBL413608","chemblid",7.9
"410","CHEMBL436849","chemblid",3200
"411","CHEMBL252895","chemblid",1000
"412","CHEMBL59572","chemblid",590.5
"413","CHEMBL415135","chemblid",89
"414","CHEMBL254741","chemblid",NA
"415","CHEMBL3350011","chemblid",650
"416","CHEMBL374655","chemblid",12
"417","CHEMBL439251","chemblid",NA
"418","CHEMBL294324","chemblid",8.12
"419","CHEMBL61292","chemblid",128
"420","CHEMBL400175","chemblid",0.7
"421","CHEMBL2011823","chemblid",143
"422","CHEMBL2011832","chemblid",2.5
"423","CHEMBL2011827","chemblid",314
"424","CHEMBL291333","chemblid",828.5
"425","CHEMBL2048817","chemblid",120
"426","CHEMBL205896","chemblid",13
"427","CHEMBL383757","chemblid",38
"428","CHEMBL212415","chemblid",382
"429","CHEMBL205294","chemblid",36
"430","CHEMBL206741","chemblid",9.7
"431","CHEMBL204266","chemblid",69
"432","CHEMBL377305","chemblid",237
"433","CHEMBL205848","chemblid",316
"434","CHEMBL205294","chemblid",NA
"435","CHEMBL205796","chemblid",NA
"436","CHEMBL204880","chemblid",2480
"437","CHEMBL205445","chemblid",6.8
"438","CHEMBL2011833","chemblid",16.5
"439","CHEMBL2011820","chemblid",171
"440","CHEMBL2011817","chemblid",11
"441","CHEMBL390503","chemblid",660
"442","CHEMBL206589","chemblid",5.7
"443","CHEMBL204474","chemblid",83
"444","CHEMBL203158","chemblid",NA
"445","CHEMBL382853","chemblid",38
"446","CHEMBL378438","chemblid",3080
"447","CHEMBL208424","chemblid",0.4
"448","CHEMBL376471","chemblid",22
"449","CHEMBL222835","chemblid",750
"450","CHEMBL221569","chemblid",700
"451","CHEMBL411055","chemblid",120
"452","CHEMBL374921","chemblid",130
"453","CHEMBL382375","chemblid",170
"454","CHEMBL205521","chemblid",3.6
"455","CHEMBL383522","chemblid",5.8
"456","CHEMBL206399","chemblid",23
"457","CHEMBL205896","chemblid",NA
"458","CHEMBL383454","chemblid",NA
"459","CHEMBL178610","chemblid",14
"460","CHEMBL361349","chemblid",10
"461","CHEMBL211454","chemblid",7
"462","CHEMBL184093","chemblid",3
"463","CHEMBL363930","chemblid",25
"464","CHEMBL184429","chemblid",57
"465","CHEMBL185057","chemblid",18
"466","CHEMBL368247","chemblid",NA
"467","CHEMBL209394","chemblid",249
"468","CHEMBL507636","chemblid",112
"469","CHEMBL506986","chemblid",29
"470","CHEMBL361366","chemblid",8200
"471","CHEMBL207792","chemblid",96
"472","CHEMBL509976","chemblid",53
"473","CHEMBL205955","chemblid",634
"474","CHEMBL378989","chemblid",34
"475","CHEMBL213704","chemblid",408
"476","CHEMBL3218908","chemblid",980
"477","CHEMBL509976","chemblid",15
"478","CHEMBL240509","chemblid",0.6
"479","CHEMBL392593","chemblid",11
"480","CHEMBL414132","chemblid",130
"481","CHEMBL2113322","chemblid",13
"482","CHEMBL395441","chemblid",173
"483","CHEMBL396681","chemblid",44
"484","CHEMBL397109","chemblid",32
"485","CHEMBL241242","chemblid",59
"486","CHEMBL241033","chemblid",113
"487","CHEMBL393692","chemblid",138
"488","CHEMBL181584","chemblid",4900
"489","CHEMBL361349","chemblid",9
"490","CHEMBL182154","chemblid",2300
"491","CHEMBL436275","chemblid",860
"492","CHEMBL179812","chemblid",10000
"493","CHEMBL434330","chemblid",37
"494","CHEMBL252695","chemblid",1000
"495","CHEMBL206486","chemblid",2.4
"496","CHEMBL275660","chemblid",25.6
"497","CHEMBL276137","chemblid",59.8
"498","CHEMBL397593","chemblid",6
"499","CHEMBL391980","chemblid",18
"500","CHEMBL2113324","chemblid",0.5
"501","CHEMBL394054","chemblid",134
"502","CHEMBL392805","chemblid",23
"503","CHEMBL393693","chemblid",38
"504","CHEMBL381942","chemblid",1380
"505","CHEMBL205136","chemblid",190
"506","CHEMBL2310887","chemblid",0.96
"507","CHEMBL504776","chemblid",0.42
"508","CHEMBL425594","chemblid",0.3
"509","CHEMBL425048","chemblid",19
"510","CHEMBL204352","chemblid",110
"511","CHEMBL204564","chemblid",57
"512","CHEMBL206588","chemblid",4.2
"513","CHEMBL205450","chemblid",2.9
"514","CHEMBL205470","chemblid",1.2
"515","CHEMBL181312","chemblid",116
"516","CHEMBL369533","chemblid",4
"517","CHEMBL362595","chemblid",9000
"518","CHEMBL178128","chemblid",NA
"519","CHEMBL399447","chemblid",1.8
"520","CHEMBL400174","chemblid",60
"521","CHEMBL2048808","chemblid",2980
"522","CHEMBL2048821","chemblid",298
"523","CHEMBL212046","chemblid",1000
"524","CHEMBL204325","chemblid",1
"525","CHEMBL1079872","chemblid",108
"526","CHEMBL1078899","chemblid",14
"527","CHEMBL1078900","chemblid",8
"528","CHEMBL1079107","chemblid",21
"529","CHEMBL205486","chemblid",790
"530","CHEMBL205286","chemblid",690
"531","CHEMBL444277","chemblid",130
"532","CHEMBL203782","chemblid",21
"533","CHEMBL379887","chemblid",NA
"534","CHEMBL204322","chemblid",122
"535","CHEMBL383757","chemblid",NA
"536","CHEMBL2163466","chemblid",1170
"537","CHEMBL385803","chemblid",60
"538","CHEMBL206672","chemblid",700
"539","CHEMBL203578","chemblid",6
"540","CHEMBL381759","chemblid",34
"541","CHEMBL382033","chemblid",9.1
"542","CHEMBL203158","chemblid",54
"543","CHEMBL204884","chemblid",354
"544","CHEMBL383766","chemblid",NA
"545","CHEMBL206638","chemblid",NA
"546","CHEMBL205605","chemblid",11
"547","CHEMBL205963","chemblid",945
"548","CHEMBL363896","chemblid",147
"549","CHEMBL187271","chemblid",131
"550","CHEMBL184258","chemblid",110
"551","CHEMBL251855","chemblid",1300
"552","CHEMBL205995","chemblid",5.2
"553","CHEMBL205374","chemblid",5.4
"554","CHEMBL211265","chemblid",188
"555","CHEMBL211581","chemblid",10000
"556","CHEMBL211581","chemblid",2270
"557","CHEMBL2163441","chemblid",10000
"558","CHEMBL2163446","chemblid",10000
"559","CHEMBL376735","chemblid",150
"560","CHEMBL375568","chemblid",2200
"561","CHEMBL375103","chemblid",28
"562","CHEMBL178668","chemblid",130
"563","CHEMBL221723","chemblid",1000
"564","CHEMBL223638","chemblid",640
"565","CHEMBL222518","chemblid",121
"566","CHEMBL224921","chemblid",120
"567","CHEMBL373995","chemblid",1700
"568","CHEMBL426905","chemblid",570
"569","CHEMBL390308","chemblid",2
"570","CHEMBL2163468","chemblid",85600
"571","CHEMBL2163482","chemblid",723
"572","CHEMBL2163477","chemblid",1200
"573","CHEMBL2163473","chemblid",465
"574","CHEMBL2163439","chemblid",51000
"575","CHEMBL2163438","chemblid",10000
"576","CHEMBL2163448","chemblid",45000
"577","CHEMBL381759","chemblid",NA
"578","CHEMBL203581","chemblid",3250
"579","CHEMBL382138","chemblid",NA
"580","CHEMBL424860","chemblid",38
"581","CHEMBL203578","chemblid",62
"582","CHEMBL205605","chemblid",32
"583","CHEMBL206673","chemblid",248
"584","CHEMBL205445","chemblid",2.8
"585","CHEMBL205784","chemblid",7.7
"586","CHEMBL282891","chemblid",1.155
"587","CHEMBL204835","chemblid",37
"588","CHEMBL382033","chemblid",5.5
"589","CHEMBL205848","chemblid",16
"590","CHEMBL205847","chemblid",279
"591","CHEMBL204897","chemblid",NA
"592","CHEMBL450217","chemblid",530
"593","CHEMBL205794","chemblid",1420
"594","CHEMBL267197","chemblid",5
"595","CHEMBL414930","chemblid",76
"596","CHEMBL428314","chemblid",120
"597","CHEMBL222622","chemblid",145
"598","CHEMBL2164497","chemblid",220
"599","CHEMBL391922","chemblid",468
"600","CHEMBL241776","chemblid",16
"601","CHEMBL2113320","chemblid",350
"602","CHEMBL394179","chemblid",1000
"603","CHEMBL277376","chemblid",7
"604","CHEMBL407647","chemblid",10000
"605","CHEMBL205847","chemblid",1380
"606","CHEMBL2113328","chemblid",19
"607","CHEMBL444131","chemblid",159
"608","CHEMBL281578","chemblid",39
"609","CHEMBL281578","chemblid",22.7
"610","CHEMBL108335","chemblid",15.9
"611","CHEMBL540603","chemblid",340
"612","CHEMBL397594","chemblid",18
"613","CHEMBL415674","chemblid",35
"614","CHEMBL2113327","chemblid",96
"615","CHEMBL398607","chemblid",1000
"616","CHEMBL240179","chemblid",759
"617","CHEMBL410108","chemblid",9.6
"618","CHEMBL500703","chemblid",12
"619","CHEMBL18815","chemblid",807
"620","CHEMBL2163452","chemblid",10000
"621","CHEMBL274460","chemblid",397
"622","CHEMBL353007","chemblid",190
