"","Id","Id.Type","Standard.Value"
"370","CHEMBL2304221","chemblid",0.7943
"371","CHEMBL1161824","chemblid",2.1
"372","CHEMBL294923","chemblid",10
"373","CHEMBL261497","chemblid",105
"374","CHEMBL411697","chemblid",0.7
"375","CHEMBL258762","chemblid",33
"376","CHEMBL179823","chemblid",0.46
"377","CHEMBL181676","chemblid",5
"378","CHEMBL180094","chemblid",0.46
"379","CHEMBL391428","chemblid",99
"380","CHEMBL237058","chemblid",1120
"381","CHEMBL1161824","chemblid",2.1
"382","CHEMBL1161825","chemblid",10
"383","CHEMBL1161831","chemblid",8.5
"384","CHEMBL239464","chemblid",143
"385","CHEMBL240746","chemblid",NA
"386","CHEMBL392663","chemblid",14
"387","CHEMBL2113327","chemblid",15
"388","CHEMBL391588","chemblid",6.1
"389","CHEMBL250973","chemblid",158.49
"390","CHEMBL248544","chemblid",0.7943
"391","CHEMBL251169","chemblid",0.5012
"392","CHEMBL237699","chemblid",1
"393","CHEMBL248542","chemblid",3.981
"394","CHEMBL209020","chemblid",3
"395","CHEMBL1161832","chemblid",6
"396","CHEMBL398570","chemblid",3
"397","CHEMBL379564","chemblid",5.012
"398","CHEMBL441360","chemblid",5
"399","CHEMBL383526","chemblid",7.5
"400","CHEMBL1161828","chemblid",1.1
"401","CHEMBL1161822","chemblid",4.786
"402","CHEMBL1161828","chemblid",1.096
"403","CHEMBL1161825","chemblid",10
"404","CHEMBL133848","chemblid",1.8
"405","CHEMBL1161831","chemblid",8.5
"406","CHEMBL47938","chemblid",1
"407","CHEMBL106841","chemblid",10
"408","CHEMBL611488","chemblid",30
"409","CHEMBL1162063","chemblid",1
"410","CHEMBL1162063","chemblid",1.995
"411","CHEMBL295984","chemblid",1.995
"412","CHEMBL1161829","chemblid",2.7
"413","CHEMBL180659","chemblid",2
"414","CHEMBL181786","chemblid",2.3
"415","CHEMBL360547","chemblid",0.49
"416","CHEMBL235817","chemblid",1520
"417","CHEMBL237933","chemblid",17
"418","CHEMBL399625","chemblid",4110
"419","CHEMBL181764","chemblid",1.5
"420","CHEMBL253965","chemblid",1.79
"421","CHEMBL2170700","chemblid",624.4
"422","CHEMBL2170696","chemblid",9.4
"423","CHEMBL2170690","chemblid",1000
"424","CHEMBL2170781","chemblid",1000
"425","CHEMBL517081","chemblid",31.62
"426","CHEMBL481408","chemblid",7.943
"427","CHEMBL482220","chemblid",0.3162
"428","CHEMBL519301","chemblid",0.3981
"429","CHEMBL480037","chemblid",0.5012
"430","CHEMBL519121","chemblid",3.981
"431","CHEMBL481620","chemblid",1.995
"432","CHEMBL262879","chemblid",39.81
"433","CHEMBL2364399","chemblid",1.995
"434","CHEMBL2364400","chemblid",25.12
"435","CHEMBL2364346","chemblid",15.85
"436","CHEMBL256263","chemblid",3.981
"437","CHEMBL265950","chemblid",15.85
"438","CHEMBL261466","chemblid",125.89
"439","CHEMBL402632","chemblid",15.85
"440","CHEMBL361802","chemblid",45
"441","CHEMBL181247","chemblid",14.4
"442","CHEMBL382844","chemblid",3
"443","CHEMBL209020","chemblid",3
"444","CHEMBL1161832","chemblid",6
"445","CHEMBL1161834","chemblid",5
"446","CHEMBL417182","chemblid",17
"447","CHEMBL1161823","chemblid",5.6
"448","CHEMBL1161827","chemblid",2.512
"449","CHEMBL1161829","chemblid",2.692
"450","CHEMBL1161831","chemblid",8.511
"451","CHEMBL382844","chemblid",3.02
"452","CHEMBL1161833","chemblid",57
"453","CHEMBL49884","chemblid",21.88
"454","CHEMBL1161831","chemblid",8.511
"455","CHEMBL271876","chemblid",0.4
"456","CHEMBL403180","chemblid",0.8
"457","CHEMBL272540","chemblid",2.512
"458","CHEMBL261030","chemblid",1.995
"459","CHEMBL402772","chemblid",39.81
"460","CHEMBL257019","chemblid",630.96
"461","CHEMBL270666","chemblid",0.3
"462","CHEMBL492028","chemblid",220
"463","CHEMBL483455","chemblid",140
"464","CHEMBL483865","chemblid",600
"465","CHEMBL522270","chemblid",10
"466","CHEMBL375972","chemblid",45
"467","CHEMBL223532","chemblid",98
"468","CHEMBL374073","chemblid",64
"469","CHEMBL376736","chemblid",210
"470","CHEMBL430398","chemblid",39.81
"471","CHEMBL429817","chemblid",6.5
"472","CHEMBL207970","chemblid",3.981
"473","CHEMBL439560","chemblid",4100
"474","CHEMBL58758","chemblid",448.5
"475","CHEMBL517391","chemblid",5.012
"476","CHEMBL2113322","chemblid",9.9
"477","CHEMBL79263","chemblid",1.6
"478","CHEMBL130229","chemblid",3.02
"479","CHEMBL376970","chemblid",5
"480","CHEMBL1078207","chemblid",1584.89
"481","CHEMBL379074","chemblid",0.8
"482","CHEMBL281764","chemblid",3
"483","CHEMBL2113328","chemblid",7.7
"484","CHEMBL432461","chemblid",2.8
"485","CHEMBL266647","chemblid",720
"486","CHEMBL2113325","chemblid",5.4
"487","CHEMBL240509","chemblid",1.6
"488","CHEMBL240392","chemblid",NA
"489","CHEMBL237302","chemblid",1860
"490","CHEMBL393570","chemblid",75
"491","CHEMBL1161832","chemblid",6.026
"492","CHEMBL1161825","chemblid",10
"493","CHEMBL380096","chemblid",18.2
"494","CHEMBL401134","chemblid",0.1995
"495","CHEMBL1161832","chemblid",6.026
"496","CHEMBL2364348","chemblid",15.85
"497","CHEMBL2364350","chemblid",398.11
"498","CHEMBL2364363","chemblid",50.12
"499","CHEMBL2364398","chemblid",7.943
"500","CHEMBL2364404","chemblid",19.95
"501","CHEMBL2364345","chemblid",31.62
"502","CHEMBL369571","chemblid",257
"503","CHEMBL181352","chemblid",21
"504","CHEMBL2364376","chemblid",100
"505","CHEMBL266063","chemblid",3
"506","CHEMBL182158","chemblid",2.4
"507","CHEMBL180246","chemblid",1.4
"508","CHEMBL301259","chemblid",7.95
"509","CHEMBL379564","chemblid",5.012
"510","CHEMBL441360","chemblid",5
"511","CHEMBL251572","chemblid",0.1585
"512","CHEMBL2364479","chemblid",10
"513","CHEMBL2364483","chemblid",12.59
"514","CHEMBL2364487","chemblid",5.012
"515","CHEMBL2364449","chemblid",6.31
"516","CHEMBL2364446","chemblid",31.62
"517","CHEMBL393330","chemblid",14.6
"518","CHEMBL271947","chemblid",63.1
"519","CHEMBL2364421","chemblid",25.12
"520","CHEMBL2364422","chemblid",19.95
"521","CHEMBL2364464","chemblid",63.1
"522","CHEMBL2364466","chemblid",6.31
"523","CHEMBL2364387","chemblid",12.59
"524","CHEMBL2364388","chemblid",15.85
"525","CHEMBL2364417","chemblid",31.62
"526","CHEMBL2364425","chemblid",3.162
"527","CHEMBL2364432","chemblid",1.259
"528","CHEMBL2364451","chemblid",12.59
"529","CHEMBL2364454","chemblid",7.943
"530","CHEMBL2364457","chemblid",39.81
"531","CHEMBL2364471","chemblid",19.95
"532","CHEMBL2364473","chemblid",3.981
"533","CHEMBL2364489","chemblid",158.49
"534","CHEMBL2364490","chemblid",31.62
"535","CHEMBL2364491","chemblid",3.162
"536","CHEMBL2364365","chemblid",5.012
"537","CHEMBL2364370","chemblid",39.81
"538","CHEMBL2364372","chemblid",7.943
"539","CHEMBL2364481","chemblid",2.512
"540","CHEMBL262358","chemblid",0.9
"541","CHEMBL500468","chemblid",1.4
"542","CHEMBL271948","chemblid",100
"543","CHEMBL411699","chemblid",40
"544","CHEMBL1161826","chemblid",8.511
"545","CHEMBL608827","chemblid",30.2
"546","CHEMBL500468","chemblid",1.42
"547","CHEMBL404545","chemblid",0.4
"548","CHEMBL1078881","chemblid",10000
"549","CHEMBL481796","chemblid",0.2512
"550","CHEMBL481619","chemblid",19.95
"551","CHEMBL479865","chemblid",316.23
"552","CHEMBL410499","chemblid",26
"553","CHEMBL256235","chemblid",64
"554","CHEMBL270851","chemblid",27
"555","CHEMBL2170779","chemblid",13.4
"556","CHEMBL2170702","chemblid",96.8
"557","CHEMBL2170775","chemblid",119.6
"558","CHEMBL2364448","chemblid",19.95
"559","CHEMBL2364336","chemblid",12.59
"560","CHEMBL3892517","chemblid",1000
"561","CHEMBL3900035","chemblid",NA
"562","CHEMBL3974701","chemblid",NA
"563","CHEMBL3967783","chemblid",100
"564","CHEMBL380096","chemblid",18.2
"565","CHEMBL1161826","chemblid",8.5
"566","CHEMBL274599","chemblid",14
"567","CHEMBL1161826","chemblid",8.511
"568","CHEMBL209020","chemblid",3.02
"569","CHEMBL411330","chemblid",8.4
"570","CHEMBL410135","chemblid",0.64
"571","CHEMBL260849","chemblid",2.9
"572","CHEMBL263389","chemblid",3.1
"573","CHEMBL261544","chemblid",1.8
"574","CHEMBL409327","chemblid",23
"575","CHEMBL473921","chemblid",100
"576","CHEMBL480219","chemblid",501.19
"577","CHEMBL491835","chemblid",2000
"578","CHEMBL523786","chemblid",5000
"579","CHEMBL489398","chemblid",9000
"580","CHEMBL489793","chemblid",4000
"581","CHEMBL488971","chemblid",90
"582","CHEMBL490614","chemblid",4000
"583","CHEMBL519196","chemblid",2000
"584","CHEMBL491428","chemblid",10
"585","CHEMBL517543","chemblid",1
"586","CHEMBL1793862","chemblid",3.02
"587","CHEMBL295984","chemblid",1.995
"588","CHEMBL490217","chemblid",10000
"589","CHEMBL291333","chemblid",432.2
"590","CHEMBL407706","chemblid",0.7943
"591","CHEMBL481602","chemblid",31.62
"592","CHEMBL521246","chemblid",3.162
"593","CHEMBL516602","chemblid",1.259
"594","CHEMBL490422","chemblid",440
"595","CHEMBL522446","chemblid",330
"596","CHEMBL523116","chemblid",10000
"597","CHEMBL488965","chemblid",10
"598","CHEMBL489370","chemblid",7
"599","CHEMBL485090","chemblid",20
"600","CHEMBL519171","chemblid",1000
"601","CHEMBL490009","chemblid",200
"602","CHEMBL1923612","chemblid",16.6
"603","CHEMBL411122","chemblid",14.7
"604","CHEMBL294408","chemblid",69.2
"605","CHEMBL410074","chemblid",0.2
"606","CHEMBL410730","chemblid",521
"607","CHEMBL236858","chemblid",390
"608","CHEMBL1161823","chemblid",5.623
"609","CHEMBL207970","chemblid",4
"610","CHEMBL274599","chemblid",14.13
"611","CHEMBL1161834","chemblid",5.012
"612","CHEMBL417182","chemblid",16.6
"613","CHEMBL235012","chemblid",200
"614","CHEMBL238228","chemblid",49
"615","CHEMBL392522","chemblid",116
"616","CHEMBL237059","chemblid",259
"617","CHEMBL180337","chemblid",27
"618","CHEMBL362798","chemblid",20.9
"619","CHEMBL360247","chemblid",43
"620","CHEMBL179978","chemblid",7.3
"621","CHEMBL178216","chemblid",5.6
"622","CHEMBL322912","chemblid",0.34
"623","CHEMBL295984","chemblid",2
"624","CHEMBL281764","chemblid",3
"625","CHEMBL1161829","chemblid",2.7
"626","CHEMBL3578014","chemblid",266.8
"627","CHEMBL385131","chemblid",12
"628","CHEMBL376258","chemblid",4
"629","CHEMBL394130","chemblid",517
"630","CHEMBL237507","chemblid",67
"631","CHEMBL438154","chemblid",150
"632","CHEMBL500468","chemblid",32
"633","CHEMBL375162","chemblid",49
"634","CHEMBL395441","chemblid",NA
"635","CHEMBL2113317","chemblid",279
"636","CHEMBL391859","chemblid",183
"637","CHEMBL1077578","chemblid",10000
"638","CHEMBL1077735","chemblid",1000
"639","CHEMBL1078208","chemblid",158.49
"640","CHEMBL1079187","chemblid",19.95
"641","CHEMBL1079186","chemblid",3.981
"642","CHEMBL1078558","chemblid",1000
"643","CHEMBL1078463","chemblid",1000
"644","CHEMBL1078267","chemblid",1000
"645","CHEMBL1077991","chemblid",1000
"646","CHEMBL2364381","chemblid",1.585
"647","CHEMBL2364433","chemblid",12.59
"648","CHEMBL473921","chemblid",100
"649","CHEMBL410085","chemblid",0.2
"650","CHEMBL522426","chemblid",40
"651","CHEMBL181735","chemblid",4.9
"652","CHEMBL181092","chemblid",11.7
"653","CHEMBL434152","chemblid",19.7
"654","CHEMBL366916","chemblid",26.7
"655","CHEMBL490010","chemblid",50
"656","CHEMBL2170784","chemblid",161.3
"657","CHEMBL2170782","chemblid",5.7
"658","CHEMBL2170781","chemblid",29.6
"659","CHEMBL2170781","chemblid",2.8
"660","CHEMBL2170781","chemblid",1000
"661","CHEMBL2170781","chemblid",3.8
"662","CHEMBL1161826","chemblid",8.5
"663","CHEMBL428592","chemblid",0.45
"664","CHEMBL404355","chemblid",1.18
"665","CHEMBL404354","chemblid",0.51
"666","CHEMBL401827","chemblid",0.61
"667","CHEMBL2170781","chemblid",11.2
"668","CHEMBL482204","chemblid",7.943
"669","CHEMBL539929","chemblid",0.34
"670","CHEMBL1078462","chemblid",1000
"671","CHEMBL1080046","chemblid",79.43
"672","CHEMBL1078492","chemblid",10000
"673","CHEMBL1078595","chemblid",1000
"674","CHEMBL1078882","chemblid",1000
"675","CHEMBL2170780","chemblid",17.9
"676","CHEMBL180093","chemblid",3.4
"677","CHEMBL181063","chemblid",1.5
