"","Id","Id.Type","Standard.Value"
"243","CHEMBL2426668","chemblid",3630.78
"244","CHEMBL2011816","chemblid",4.4
"245","CHEMBL2426687","chemblid",85.11
"246","CHEMBL489610","chemblid",10000
"247","CHEMBL2203623","chemblid",100
"248","CHEMBL2164499","chemblid",8
"249","CHEMBL2164831","chemblid",44
"250","CHEMBL1956993","chemblid",0.01
"251","CHEMBL1956989","chemblid",6.7
"252","CHEMBL1956988","chemblid",2
"253","CHEMBL1957002","chemblid",6.6
"254","CHEMBL3932408","chemblid",10
"255","CHEMBL3985477","chemblid",100
"256","CHEMBL3984338","chemblid",0.1
"257","CHEMBL3889678","chemblid",10
"258","CHEMBL3910661","chemblid",100
"259","CHEMBL3897527","chemblid",10
"260","CHEMBL3896306","chemblid",10000
"261","CHEMBL3974323","chemblid",1000
"262","CHEMBL3966625","chemblid",10000
"263","CHEMBL1923610","chemblid",0.1
"264","CHEMBL3799225","chemblid",9
"265","CHEMBL1923631","chemblid",100
"266","CHEMBL1957004","chemblid",3.1
"267","CHEMBL1957006","chemblid",1.5
"268","CHEMBL1957009","chemblid",0.27
"269","CHEMBL365063","chemblid",NA
"270","CHEMBL3937314","chemblid",100
"271","CHEMBL3920711","chemblid",1000
"272","CHEMBL3944936","chemblid",100
"273","CHEMBL3967266","chemblid",1000
"274","CHEMBL3939993","chemblid",100
"275","CHEMBL3937545","chemblid",500
"276","CHEMBL2203623","chemblid",100
"277","CHEMBL3913052","chemblid",10
"278","CHEMBL3934901","chemblid",100
"279","CHEMBL3899825","chemblid",1000
"280","CHEMBL3978864","chemblid",100
"281","CHEMBL3977265","chemblid",100
"282","CHEMBL2048810","chemblid",20
"283","CHEMBL2048811","chemblid",52
"284","CHEMBL2426687","chemblid",9.12
"285","CHEMBL3935364","chemblid",10000
"286","CHEMBL3287213","chemblid",6.607
"287","CHEMBL3898348","chemblid",10
"288","CHEMBL3913763","chemblid",10
"289","CHEMBL3923324","chemblid",100
"290","CHEMBL3889672","chemblid",100
"291","CHEMBL3963865","chemblid",10
"292","CHEMBL3970180","chemblid",100
"293","CHEMBL3951362","chemblid",100
"294","CHEMBL3923718","chemblid",100
"295","CHEMBL3980176","chemblid",1000
"296","CHEMBL2426683","chemblid",3.981
"297","CHEMBL2426670","chemblid",25118.86
"298","CHEMBL2426684","chemblid",7.413
"299","CHEMBL1923625","chemblid",0.1
"300","CHEMBL3891381","chemblid",10
"301","CHEMBL3908156","chemblid",100
"302","CHEMBL1923616","chemblid",10
"303","CHEMBL3935422","chemblid",100
"304","CHEMBL3977656","chemblid",10000
"305","CHEMBL3914338","chemblid",100
"306","CHEMBL1923607","chemblid",10000
"307","CHEMBL3939872","chemblid",0.1
"308","CHEMBL3986628","chemblid",10
"309","CHEMBL3969506","chemblid",10
"310","CHEMBL1923511","chemblid",100
"311","CHEMBL3966251","chemblid",100
"312","CHEMBL3897510","chemblid",10
"313","CHEMBL3932434","chemblid",10
"314","CHEMBL1923504","chemblid",10
"315","CHEMBL3914467","chemblid",100
"316","CHEMBL3920479","chemblid",1000
"317","CHEMBL1923636","chemblid",10
"318","CHEMBL3967506","chemblid",100
"319","CHEMBL3980873","chemblid",100
"320","CHEMBL3980276","chemblid",100
"321","CHEMBL3955064","chemblid",10000
"322","CHEMBL3970499","chemblid",100
"323","CHEMBL3903845","chemblid",100
"324","CHEMBL3934561","chemblid",107
"325","CHEMBL3943597","chemblid",1000
"326","CHEMBL3930570","chemblid",1000
"327","CHEMBL3967522","chemblid",1000
"328","CHEMBL3957703","chemblid",10000
"329","CHEMBL1923507","chemblid",10000
"330","CHEMBL1923510","chemblid",100
"331","CHEMBL1923509","chemblid",10000
"332","CHEMBL3908989","chemblid",10000
"333","CHEMBL3946954","chemblid",1000
"334","CHEMBL3898794","chemblid",0.1
"335","CHEMBL3953053","chemblid",10
"336","CHEMBL3891657","chemblid",100
"337","CHEMBL3979606","chemblid",100
"338","CHEMBL3907480","chemblid",100
"339","CHEMBL3910288","chemblid",100
"340","CHEMBL3940860","chemblid",100
"341","CHEMBL403180","chemblid",63
"342","CHEMBL506986","chemblid",255
"343","CHEMBL3930905","chemblid",10000
"344","CHEMBL3912211","chemblid",10
"345","CHEMBL3920049","chemblid",0.1
"346","CHEMBL3967783","chemblid",10
"347","CHEMBL3943086","chemblid",10
"348","CHEMBL3893048","chemblid",0.1
"349","CHEMBL3978455","chemblid",100
"350","CHEMBL3913335","chemblid",10
"351","CHEMBL3918783","chemblid",67
"352","CHEMBL3970190","chemblid",1000
"353","CHEMBL3938452","chemblid",10
"354","CHEMBL3984464","chemblid",10
"355","CHEMBL3952596","chemblid",10
"356","CHEMBL3949926","chemblid",100
"357","CHEMBL3918996","chemblid",1000
"358","CHEMBL3948571","chemblid",1000
"359","CHEMBL3950287","chemblid",10000
"360","CHEMBL3947631","chemblid",10000
"361","CHEMBL3925885","chemblid",500
"362","CHEMBL3909834","chemblid",10
"363","CHEMBL3902231","chemblid",1000
"364","CHEMBL3961157","chemblid",1000
"365","CHEMBL1923626","chemblid",0.1
"366","CHEMBL3974356","chemblid",1000
"367","CHEMBL1923514","chemblid",10000
"368","CHEMBL3979436","chemblid",10000
"369","CHEMBL3919224","chemblid",10000
"370","CHEMBL3961108","chemblid",0.1
"371","CHEMBL3961696","chemblid",100
"372","CHEMBL3945984","chemblid",100
"373","CHEMBL3907031","chemblid",100
"374","CHEMBL3923918","chemblid",100
"375","CHEMBL1923613","chemblid",100
"376","CHEMBL3947758","chemblid",100
"377","CHEMBL3954124","chemblid",100
"378","CHEMBL3902804","chemblid",100
"379","CHEMBL3896536","chemblid",10
"380","CHEMBL3922810","chemblid",10
"381","CHEMBL3889512","chemblid",10
"382","CHEMBL3890339","chemblid",10000
"383","CHEMBL3958739","chemblid",100
"384","CHEMBL3970414","chemblid",100
"385","CHEMBL3966937","chemblid",10000
"386","CHEMBL3976853","chemblid",10
"387","CHEMBL3905495","chemblid",100
"388","CHEMBL1923643","chemblid",10
"389","CHEMBL2424680","chemblid",29512.09
"390","CHEMBL3921493","chemblid",1000
"391","CHEMBL3798337","chemblid",220
"392","CHEMBL3797225","chemblid",2.5
"393","CHEMBL3645254","chemblid",9
"394","CHEMBL2048816","chemblid",25
"395","CHEMBL237926","chemblid",320
"396","CHEMBL235817","chemblid",5000
"397","CHEMBL237925","chemblid",5000
"398","CHEMBL3959816","chemblid",0.1
"399","CHEMBL3982825","chemblid",10
"400","CHEMBL3976941","chemblid",1000
"401","CHEMBL3951476","chemblid",10
"402","CHEMBL3948472","chemblid",10
"403","CHEMBL3956507","chemblid",10000
"404","CHEMBL3930400","chemblid",1000
"405","CHEMBL3969191","chemblid",10000
"406","CHEMBL3961456","chemblid",10
"407","CHEMBL3394200","chemblid",4
"408","CHEMBL3287217","chemblid",14
"409","CHEMBL2426677","chemblid",6.9
"410","CHEMBL3985348","chemblid",10000
"411","CHEMBL3924187","chemblid",1000
"412","CHEMBL3903647","chemblid",100
"413","CHEMBL3913130","chemblid",10000
"414","CHEMBL3959346","chemblid",1000
"415","CHEMBL3938163","chemblid",1000
"416","CHEMBL3937924","chemblid",10
"417","CHEMBL3893697","chemblid",10
"418","CHEMBL3918512","chemblid",10000
"419","CHEMBL2048821","chemblid",206
"420","CHEMBL105462","chemblid",6
"421","CHEMBL3897387","chemblid",100
"422","CHEMBL3959108","chemblid",10
"423","CHEMBL1923633","chemblid",100
"424","CHEMBL3930811","chemblid",100
"425","CHEMBL3973940","chemblid",100
"426","CHEMBL1923642","chemblid",0.1
"427","CHEMBL3981843","chemblid",100
"428","CHEMBL3953467","chemblid",10000
"429","CHEMBL3912534","chemblid",100
"430","CHEMBL3981072","chemblid",100
"431","CHEMBL3926231","chemblid",10000
"432","CHEMBL3948268","chemblid",10
"433","CHEMBL3950904","chemblid",10
"434","CHEMBL3890602","chemblid",10
"435","CHEMBL3645258","chemblid",2
"436","CHEMBL3799687","chemblid",17
